Date,Close,High,Low,Open,Volume,Daily Change %,MA_20,MA_50
,,,,,,,,
2024-09-27,226.73475646972656,228.45675318264773,226.24703611440785,227.40166606122023,34026000.0,,,
2024-09-30,231.92063903808597,231.92063903808597,228.5861516719536,228.97434440874213,54541900.0,2.2872023015367837,,
2024-10-01,225.1620941162109,228.5861456381701,222.70353511874544,228.45675818805825,63285000.0,-2.914162771328499,,
2024-10-02,225.72946166992188,226.31672490502265,221.98688498556476,224.84358511910924,32880600.0,0.25198182488839205,,
2024-10-03,224.6245880126953,225.759306386038,222.28548343692836,224.09704443839323,34044200.0,-0.48946807787199065,,
2024-10-04,225.74935913085935,226.9437971307691,223.09172964492672,226.8442543024003,37245100.0,0.5007337478568852,,
2024-10-07,220.6630401611328,224.64451046166124,220.3047072265611,223.4600206171574,39505400.0,-2.2530823517324605,,
2024-10-08,224.72413635253903,224.933155033014,222.2158058701156,223.26094483680063,31855700.0,1.8404061633705115,,
2024-10-09,228.47666931152344,228.6857031876272,223.7884964805669,224.1866374402548,33591100.0,1.6698397510348295,,
2024-10-10,227.97897338867188,228.43684913724616,226.11764095959848,226.72481576308653,28183500.0,-0.21783227335696598,,
2024-10-11,226.4958953857422,228.3472796881356,226.28686151162023,228.23778864704397,31759200.0,-0.650532801725201,,
2024-10-14,230.228515625,230.65651637799863,227.54102629778745,227.6405539391785,39882100.0,1.647985820184883,,
2024-10-15,232.76670837402344,236.3898456598821,231.29355345996072,232.52781469355563,64751400.0,1.1024667131840804,,
2024-10-16,230.70628356933597,231.0447048824563,228.7752681420796,230.52712470524972,34082200.0,-0.8851887879845144,,
2024-10-17,231.07456970214844,232.76670668063704,229.4521309302649,232.348638945834,32993800.0,0.15963420116460458,,
2024-10-18,233.91136169433597,235.0858880500012,232.92594240501305,235.0858880500012,46431500.0,1.2276521799192919,,
2024-10-21,235.38450622558597,235.75280253487685,233.36391138062547,233.36391138062547,36254500.0,0.629787506078916,,
2024-10-22,234.7673797607422,235.125712669187,231.5224871701216,232.8065045656556,38846600.0,-0.26217803148536056,,
2024-10-23,229.6910095214844,234.05072423456664,226.7049068825192,232.99563706556216,52287000.0,-2.162297949754033,,
2024-10-24,229.50189208984372,229.75073396519565,227.35189464165865,228.9146137210552,31109500.0,-0.08233558293582188,228.81459197998046,
2024-10-25,230.3380126953125,232.13962556438537,228.5065400142299,228.6757506783198,38802300.0,0.36431970031056693,228.99475479125977,
2024-10-28,232.3187713623047,233.64261197661628,231.47271808946843,232.2391553268284,36087100.0,0.859935641457632,229.0146614074707,
2024-10-29,232.5875244140625,233.2444706163013,231.2437873874136,232.0201728307493,35417200.0,0.11568288269685478,229.38593292236328,
2024-10-30,229.03407287597656,232.38845656475567,228.48661770128336,231.5324398883544,47070900.0,-1.5277911173601555,229.55116348266603,
2024-10-31,224.86346435546875,228.765302938299,224.3259574269385,228.27756741990697,64370100.0,-1.8209554884727641,229.5631072998047,
